id,teks,label
46,Lu diem aja cantik mel kalo ga banyak gaya serius,Non-bullying
47,Kaku kek kanebo kering hahaha,Bullying
48,Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say,Non-bullying
49,"Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek",Bullying
50,"Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh",Bullying
51,Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip,Bullying
52,Iya lo kamu mirip monyet mel,Bullying
53,Bagusan pantat panci aing atuh anjir,Bullying
54,"Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,",Bullying
55,Kok mbak meldi sekarang tambah cantik ya rahasianya apa..,Non-bullying
56,Lengannya gempal banget sih HAHA,Bullying
57,Fix yang komen semua nyela,Non-bullying
58,"Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya",Non-bullying
59,"Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener",Bullying
60,Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi,Bullying
61,"Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan",Non-bullying
62,Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi,Non-bullying
63,Mukanya kalau gak dibantu kamera dekil dan kumel,Bullying
64,"Semua wanita cantik, jangan suka merasa lebih ah",Non-bullying
65,Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?,Bullying
66,Gila Netizen pada sempurna ngehina orang terus,Non-bullying
67,Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik,Bullying
68,Karena muka kayak elo pasaran dan murah…,Bullying
69,Muka buluk kepedean lagi.. muka udah tua,Bullying
70,Muka lu kaya tai wkwkwk,Bullying
71,Sakit jiwa ini upil gajah… Kasihan,Bullying
72,Jelek macam buntut kuali hahaha,Bullying
73,Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…,Non-bullying
74,"Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya",Non-bullying
75,Mbak mell sehat dan sukses ya,Non-bullying
76,Aamiin. Doa baik juga untuk Meldi,Non-bullying
77,"Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin",Non-bullying
78,Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip,Non-bullying
79,Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum,Bullying
80,Nggak ada cantik-cantik nya hahaha,Bullying
81,"Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini",Bullying
82,Lama lama mirip dewi persik ya,Non-bullying
83,pada julid padahal kan meldi gak nyusahin kalian,Non-bullying
84,ini foto apa w masukin museum aja ya ga ada pantas2nya,Bullying
85,Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana,Bullying
86,Lagu lu ga ada yang laku ya mel??,Bullying
87,Lututnya masih hitam gosok maning biar tambah cling dan cantik,Bullying
88,"Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya",Non-bullying
89,Tambah cantik aja rosa meldianti,Non-bullying
90,"Jadi diri sendiri, jangan jadi ular apalagi dugong",Bullying
91,Saya kok suka ya sama mereka harmonis,Non-bullying
92,Cantik banget kalau pakai baju kayak gitu,Non-bullying
93,Jujur ya kamu kalo anteng ga buat masalah cantik mel,Non-bullying
94,Cowoknya ga ada cakep cakepnya,Bullying
95,Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya,Bullying
96,"Dari sekian banyak foto yang diposting, ini yang paling cantik",Non-bullying
97,Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang,Bullying
98,Itu muka kayak penuh tekanan banget,Bullying
99,@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2,Bullying
100,Masyaallah cantik terlihat sopan dan anggun,Non-bullying
101,Kang ojek kali belang tangannya,Bullying
102,Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin,Non-bullying
103,Dia memutuskan menjadi tumbal apartment,Bullying
104,"makin cantik mel, semangat dietnyaa",Non-bullying
105,Itu tangan apa paha haha….,Bullying
106,Mel disini kamu keliatan cakep,Non-bullying
107,Mukanya kayak lagi ngeden pas boker,Bullying
108,Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa.. mimpi ketinggian..,Bullying
109,"salfok sama kaki, tapi cantik banget asli",Non-bullying
110,"@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…",Bullying
111,"atas bawah hitam putih, kek kopi luwak",Bullying
112,"Palsu badane diedit semua tu, aslinya dimana2 lemak",Bullying
113,Udah dapat kontrak dari skincare ttp aja buluk mel,Bullying
114,heran sama netizen klo gk suka jangan diliat aja,Non-bullying
115,sukses selalu yah ka @rosameldianti_ semangat,Non-bullying
116,Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang,Non-bullying
117,sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_,Bullying
118,Berkarya teros meldi walo ga ada yg nuntun kamu.,Non-bullying
119,"Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun",Bullying
120,"Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.",Non-bullying
121,Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..,Bullying
122,Matanya kayak katarak anjir AHAHAH,Bullying
123,"Caption aja COPAS! Cantumin credit dong, dasar iblis",Bullying
124,Unfoll aja daripada kalian dosa ngebully2 terus..,Non-bullying
125,Meldi aku perhatikan kamu seperti orang china deh.. cantik,Non-bullying
126,"Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk",Bullying
127,Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..,Bullying
128,Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan,Non-bullying
129,Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat… Mubadzir banget deh hidup lo… Napa gak bunuh diri aja?,Bullying
130,"Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa",Non-bullying
131,Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya,Bullying
132,"Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu",Non-bullying
133,Lupa di edit ya tu muka melar,Bullying
134,"Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang",Non-bullying
135,Kereennnn.. dari bully.an netizen menjadikanmu mau belajar,Non-bullying
136,Hiiihhh jiik lihat nih orang… auranya buruk bgt gak ada manis manisnya,Bullying
137,Semangat untuk belajar ya… saya uga gak bisa bahasa inggris,Non-bullying
138,Yang penting ada niat.. dan keberanian,Non-bullying
139,"Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..",Non-bullying
140,Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_,Non-bullying
141,Setidaknya dia ngaku. bukan belagak pintar,Non-bullying
142,"Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo",Bullying
143,Cuma di postingan ini ya bund netizen sedikit yang menghujat,Non-bullying
144,"Happy birthday Mel sehat dan Sukses yah, Aamiin",Non-bullying
145,Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu,Non-bullying
146,Ya ampun ketiak dan lemaknya editan parah wkwk,Bullying
147,"Ketiaknya habis di amplas mel, alus banget",Bullying
148,"Udah diedit gitu, ketiak lu tetap hitam",Bullying
149,"Selamat ulang tahun mel, udah yah jangan banyak tingkah",Non-bullying
150,Mukanya kuning banget kaya kunyit,Bullying
151,Selamat ulang tahun meldi sukses dan sehat terus ya….,Non-bullying
152,"Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan",Non-bullying
153,HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin,Non-bullying
154,"Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin",Bullying
155,"Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin",Non-bullying
156,Hbd cantik semoga kedepannya tambah sukses,Non-bullying
157,Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu,Non-bullying
158,berdiri di kaki sendiri lebih baik,Non-bullying
159,Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin,Bullying
160,Sumpah demi apapun.. Lengan nya gede banget,Bullying
161,Selamat ulang tahun panjang umur sampai ketemu dajjal,Bullying
162,"Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_",Bullying
163,Di atm tinggal 150 ribu aja banyak gaya lu dugong,Bullying
164,Gak ada bagus2nya suara dan polanya….,Bullying
165,Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik,Bullying
166,Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat,Non-bullying
167,Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok,Bullying
168,Aduh dugong masih aja gila filter….,Bullying
169,"Sekarang bukan muka aja yang didempul, tapi ketiak juga",Bullying
170,Kasian kebelet artis tapi gak punya bakat,Bullying
171,"Yang merasa peliharaannya lepas, tolong diangkut",Bullying
172,Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel,Non-bullying
173,Mudah mudahan lu jadi gembel. Amin ya Allah,Bullying
174,Ketiaknya hitam dikasih bedak jadi nya abu monyet,Bullying
175,"Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja",Non-bullying
176,Gua berharap lu aja si yg sakit bukan laura lol,Bullying
177,Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!,Bullying
178,"GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA",Bullying
179,Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!,Bullying
180,Si gaga kok kek anjing,Bullying
181,"Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.",Non-bullying
182,Gak ada cantiknya. Gila yang ada,Bullying
183,"meldi makin bersinar yaaa, pertahanin karir jgn di sia siain",Non-bullying
184,Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..,Non-bullying
185,Asli gak ada bebet bobo ni anak. kasihan sekali.,Bullying
186,kumat… lama semedinya segini keluarnya,Bullying
187,Tangannya hitam… beda ama muka,Bullying
188,Kok meldi di foto aku gendut beda,Bullying
189,"Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??",Bullying
190,Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..,Non-bullying
191,"Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi",Bullying
192,Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget,Bullying
193,Lo kira lo bagus tuh begitu anjing wkwkw,Bullying
194,Di maafin aaa… semoga dia jera untuk kedepannya…,Non-bullying
195,Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha,Bullying
196,Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya,Non-bullying
197,"Okay bro kalem aja, tetap semangat dan jangan putus asa",Non-bullying
198,Lu Mati ajalah . Udah biar gak bikin ribet,Bullying
199,SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA,Bullying
200,MATI KAU NAJIS KONTOL BANGSAT MATI KAU,Bullying
201,"youtuber toxic, tutup akunmu sekalian tutup usia",Bullying
202,Pada ribet kayak udah pada benar aja lu semua,Non-bullying
203,Jangan ada hitam diatas putih. Langsung proses,Non-bullying
204,Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian,Non-bullying
205,Manusia apa hewan sih kok gak punya hati banget,Bullying
206,Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.,Bullying
207,maklum anak kurang pendidikan kayak gitu gak punya akhlak,Bullying
208,Anjing memang anak gak tau diri. ibunya sampai nangis2,Bullying
209,oi babi gue bunuh lu kalau sampai kelihatan sumpah,Bullying
210,Heee sampah lu udah gua maafin TAPI BOONG GOBLOK,Bullying
211,ANJING SINI LO BAKU HANTAM AYO,Bullying
212,Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang,Non-bullying
213,Jangan patah semngat kak sukses terus,Non-bullying
214,"Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan",Non-bullying
215,Sumpah sekarang aku respect banget sama kamu,Non-bullying
216,"Menurutku pribadi, dia tulus minta maafnya….",Non-bullying
217,DIKASIH BIDADARI MAUNYA BONEKA SANTET,Bullying
218,"Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol",Non-bullying
219,Hapus ajh ni poto ngk tau malu bgt lu bang,Non-bullying
220,Intinya gasuka ajg selama ada listy . Ngrusak suasana,Bullying
221,Di foto ini ada 2 anjing dan 1 kontol,Bullying
222,"kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih",Non-bullying
223,Puny cewk baik di selingkuhin g ngotak,Bullying
224,"Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa",Bullying
225,Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?,Non-bullying
226,Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih,Non-bullying
227,Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss,Non-bullying
228,Ini anjing Kok mirip ya sama Erick,Bullying
229,Muka Pasan sok sok an mau sm lonte lo anjing,Bullying
230,"Lu sama anjingnya, lebih baik anjingnya",Bullying
231,IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO,Bullying
232,"Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo",Non-bullying
233,"Narkoboy kontol, Cuma bisa maen cewe sama nyakitin doang lu anjing, mati aja lu bego",Bullying
234,TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR,Bullying
235,"cewe cakep, setia kok disia sia in sahabat",Non-bullying
236,loh kok ak liatnya anjing semua yaa,Bullying
237,"Anjingnya ada dua kok guys, tapi kok lagi satu gue liat ada babi item",Bullying
238,"Mantan Anjing, eh kebalik anjing mantan",Bullying
239,Bikin skandal karena kepengen tenar?,Non-bullying
240,Wiii anjay kapan lagi liat babi megang 2 anjing,Bullying
241,Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari,Bullying
242,"Babi g pantes nyentuh anjingnya bidadari, nanti kotor.",Bullying
243,SESAMA ANJING FOTO DULU YA KAN,Bullying
244,potret seorjing memegang anjing kwkw,Bullying
245,HEH UDH NAPA HATE NYA CAPE GW BACA NYA,Non-bullying
246,WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA,Bullying
247,"kalo lomba samaan sm babi, babi nya nmr 2",Bullying
248,Si anjing ketika berfoto dengan si anjing,Bullying
249,Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono,Non-bullying
250,erikontolim manusia babi anak lonte,Bullying
251,HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!,Non-bullying
252,Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica,Non-bullying
253,"Anjing sekarang hebat ya, bisa pake kacamata",Bullying
254,Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa,Non-bullying
255,"Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak",Non-bullying
256,Ada 3 Ajg Dan Yg Punya Tato Bener2 Ajg,Bullying
257,"dasar orang tua gada akhlak,ngajarin anaknya yang ga bener",Bullying
258,Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2,Non-bullying
259,Eh jangan dekat dekat sama anjingnya ci Jessica gua lempar lu,Bullying
260,guys dr pd comment2 mending unfoll sm unsubscribe aja yaa,Non-bullying
261,Babi lagi main ma anjing :),Bullying
262,Dikasi BIDADARI MALAH PILIH BABI,Bullying
263,Postingan pertama jg dihujat dong gila netijen,Non-bullying
264,BARU KALI INI LIHAT ANJING SAMA BABI BAIKAN…,Bullying
265,Dikasih bidadari malah milih setan,Bullying
266,"Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:(",Non-bullying
267,SIKAP MU LEBIH NAJIS DARIPADA LUDAH ANJING!,Bullying
268,Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2,Non-bullying
269,kesini cmn mo liat komen aja,Non-bullying
270,Buset hate comment ampe postingan paling bawah,Non-bullying
271,Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu,Non-bullying
272,Pantes banyak utang buat bayar lonte,Bullying
273,2 3 tutup botol muka lu kek kontol wkwk,Bullying
274,astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener,Non-bullying
275,Dah lah. Gw capek baca komen kalian,Non-bullying
276,Keliatan bgt anjingnya ketakutan foto sama dakjal,Bullying
277,Astaga ngehujat sampe postingan paling bawah,Non-bullying
278,Lebih najis elu daripada anjing!,Bullying
279,2 ekor anjing dan satu buaya makan jambut,Bullying
280,Kalo disuruh melihara anjing/eric gw pilih anjing aja meski Najis tapi lebih najisan erick kontol,Bullying
281,Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol,Non-bullying
282,Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu,Non-bullying
283,"Ternyata sipat anjing bukan hanya ada di anjing doang ya,di manusia sipat anjing juga ternyata ada",Bullying
284,Potret ketika anjing poto dengan setan,Bullying
285,BANTU BEDAINN WOYY MANA ANJING MANA BABI,Bullying
286,Udaah woii udahh lu gak kasihan apa…. Aku capek ngelike komenan kalian,Non-bullying
287,"3 anjing 1 anjing berwujud manusia, 2 anjing asli tak ada perwujudan aowkwkw",Bullying
288,Kasian gue sama anjingnya dipegang dajjal,Bullying
289,Kasian anjing nya di pegang babi,Bullying
290,Lo itu kontol gak guna ajg anak dakjal,Bullying
291,mukak lu lebih buruk daripada anjing lu,Bullying
292,dikasi yang bening malah milih yang dakian,Bullying
293,Mending masuk penjara lagi aja dah seumur hidup,Bullying
294,Kok lbih lucu anjingnya ya ktimbang orangnya,Bullying
295,Akhirnya jesica bisa lepas dari kambing hitam ini,Bullying
296,Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah,Non-bullying
297,Kasian anjingnya dipeluk sma sampahh,Bullying
298,Gua kira keluar dari PENJARA bisa berubah,Non-bullying
299,Cintamu hanya sebatas kertas wkwkw enteng bang,Non-bullying
300,Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(,Non-bullying
301,"udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh, ga nyangka idola gua sesampah itu.",Bullying
302,Dihujat habisan semua postingan lama ada komen baru wkwk,Non-bullying
303,"Gua gabisa bedain mana anjing mana manusia, keliatannya sama",Bullying
304,Lu mirip anaknya kick andy yg namanya marlo bang,Non-bullying
305,Kenapa ada orang baik ? Karna ada orang jahat,Non-bullying
306,Ngga ada niatan ngadain pengajian gitu bang?,Non-bullying
307,Suka banget sama rambutnyaa tambah ganteng,Non-bullying
308,"@abatartila Ada ada aja kaya gini di bilang king, king muke nya udh kaya tai musang",Bullying
309,Ninggalin berlian demi tai babi dih,Bullying
310,ganteng kaga lu begitu malah keliatan kaya daki kontol,Bullying
311,Mukak lo kayak tapir kuda asu sok ganteng banget lo,Bullying
312,Banyak yg kecewa karena lu begini rik!!!!,Non-bullying
313,"Maap ye…muke lu udh jelek kaga usah sok selingkuh,cakepan anjing gua noh",Bullying
314,Apa si hebatnya banci yg badannya penuh koreng kaya lo,Bullying
315,Gini dong bersihan kaga kek tahun tahun sebelumnya dekil,Bullying
316,Muka lu keriput kek aki aki,Bullying
317,"Foto jelek dihujat, foto ganteng dibilang sok ganteng",Non-bullying
318,kebanyakan nyabu jadi kurus lu,Bullying
319,"NARKOBOYY NGELUARIN LIDAHH, AJG MAU APA, MAU TES URIN",Bullying
320,Fotolu pede anjrit muka lu tu anjrit,Bullying
321,Hidup itu jngn keterlaluan boss playboy amat ajg luu,Bullying
322,Mukalu kek aktor bokep bgst mending ngobat aja luu,Bullying
323,dah jelek semangattt pulak WKWK,Bullying
324,"Muka nya kok gitu, seren bikin mual liatnya",Bullying
325,Sana anjing ngewe ama lonte bangsat,Bullying
326,Muka kek kontol mending di penjara,Bullying
327,muka kek banci dih najis,Bullying
328,Ntar Mati dalam keadaan konyol,Bullying
329,mau bilang jelek nya ga enak hehe …,Bullying
330,Idihhhhh pantesan aja foto nya keluarin lidah kyk gtu. Trnyata tukang jilat…,Bullying
331,"NIH ORANG KALO LOMBA MIRIP BABI,BABINYA JUARA 2",Bullying
332,Titisan dakjal emg lo nyet,Bullying
333,Et muka lu aje gitu dih hahaha. Biarin aja sampah ketemu sampah biar busuk bersama,Bullying
334,Jijik astagah sok bat cakep njs,Bullying
335,Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg,Non-bullying
336,udah buriq brengsek pula pantes aja dapet lonte,Bullying
337,MUKA KAMPUNG GAYA SOK SOAN KOTA NYET,Bullying
338,Ngapa lidah Lo stroke amin deh kalau gtu,Bullying
339,Ciah dihujat 1 Indonesia jangan sampe bunuh diri ya komtoll kami blom puas nguat kauuu,Bullying
340,Org kampung otak dusun gaya sosoan hype. Ttep aja gabisa nutupin muka babu lu.,Bullying
341,Cowo foto liatin lidah nya jam ah jijik gue. Apa lagi minus akhlak kek gini,Bullying
342,ANJING gue jg ogah liat muke lu,Bullying
343,G bole melet dosaa rik,Non-bullying
344,paan melet melet mau jilat tai tabi?,Bullying
345,Setan emg melet2 teross jijik asuuu,Bullying
346,ni anak lahir krna kondom bocor.. ga ada rasa syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll malah di sia2in bgsad,Bullying
347,Apaan si melet2 sok ganteng,Bullying
348,Muka kek slangkangan biawak aje bnyk blagu lu,Bullying
349,Sumpah sih jahat banget. Bener2 kasian sama kak jessica,Non-bullying
350,Anjing gk pantes sama bidadari.,Bullying
351,MELET MULU SETAN KAYA ULAR,Bullying
352,Njr melet melet gw kirain hewan,Bullying
353,Gtu aj dh kek anjg lo kang,Bullying
354,Gw kesini pengen liat babang ini.. Sumpah feeling gw bener.. Mirip banget ama Reynhard Sinaga,Non-bullying
355,Ih ko melet2 si kaya hewan aja wkwkwkwk,Bullying
356,Iuu milih iblis drpd bidadarii kwkwkw jyjyq,Bullying
357,"MELET2 UDAH KAYA ANJING, EH KAN EMAH ANJING",Bullying
358,ga nyadar aja nih sampah HAHA,Bullying
359,Lidah banyak kuman and virus nih,Bullying
360,"Awalnya ngira baju endorse dari KFC, mirip '-'",Non-bullying
